learning_rate,qlearning_rate,value_loss,policy_loss,entropy,loss,old_approx_kl,approx_kl,clipfrac,explained_variance,SPS,output_scaleing,global_step,gym_id,exp_name,circuit,seed
0.01,0,33.07758712768555,-0.007619548588991165,0.6812405586242676,16.52436065673828,0.0011242656037211418,0.012083381414413452,0.1982421875,0.002701282501220703,255,1,512,CartPole-v1,"CP-ppo-ac-NN(5,5)-(actor-lr=1.0e-2)-(67-params)",classic_NN,20
0.01,0,52.544979095458984,-0.04182988405227661,0.6566641330718994,26.224092483520508,0.023484213277697563,0.014790935441851616,0.0498046875,0.004786849021911621,259,1,1024,CartPole-v1,"CP-ppo-ac-NN(5,5)-(actor-lr=1.0e-2)-(67-params)",classic_NN,20
0.01,0,72.82846069335938,-0.006074208766222,0.6366246938705444,36.401790618896484,0.004640218336135149,0.011828175745904446,0.078125,0.00014495849609375,262,1,1536,CartPole-v1,"CP-ppo-ac-NN(5,5)-(actor-lr=1.0e-2)-(67-params)",classic_NN,20
0.01,0,74.0911865234375,-0.005581609904766083,0.6457846164703369,37.03355407714844,0.005918512120842934,0.002133622532710433,0.00244140625,0.014616310596466064,261,1,2048,CartPole-v1,"CP-ppo-ac-NN(5,5)-(actor-lr=1.0e-2)-(67-params)",classic_NN,20
0.01,0,84.86311340332031,-0.015129171311855316,0.6050869822502136,42.410377502441406,0.0139385387301445,0.020306997001171112,0.14208984375,0.015820205211639404,264,1,2560,CartPole-v1,"CP-ppo-ac-NN(5,5)-(actor-lr=1.0e-2)-(67-params)",classic_NN,20
0.01,0,99.6790771484375,-0.006051830947399139,0.5994315147399902,49.827491760253906,0.015845084562897682,0.003970599267631769,0.03955078125,-0.029685139656066895,264,1,3072,CartPole-v1,"CP-ppo-ac-NN(5,5)-(actor-lr=1.0e-2)-(67-params)",classic_NN,20
0.01,0,91.1641616821289,-0.022115467116236687,0.593946635723114,45.55402755737305,0.0027839632239192724,0.006186228711158037,0.06884765625,0.033315956592559814,265,1,3584,CartPole-v1,"CP-ppo-ac-NN(5,5)-(actor-lr=1.0e-2)-(67-params)",classic_NN,20
0.01,0,97.54379272460938,0.017756201326847076,0.5711306929588318,48.783939361572266,-0.008386516943573952,0.006194029934704304,0.046875,-0.007525920867919922,265,1,4096,CartPole-v1,"CP-ppo-ac-NN(5,5)-(actor-lr=1.0e-2)-(67-params)",classic_NN,20
0.01,0,111.24176788330078,0.007435601204633713,0.5867990255355835,55.62245178222656,0.01434908527880907,0.007082405500113964,0.04736328125,0.02990967035293579,265,1,4608,CartPole-v1,"CP-ppo-ac-NN(5,5)-(actor-lr=1.0e-2)-(67-params)",classic_NN,20
0.01,0,94.47512817382812,-0.010741351172327995,0.5949215888977051,47.22087478637695,0.00795147567987442,0.002290111966431141,0.07861328125,-0.01607811450958252,265,1,5120,CartPole-v1,"CP-ppo-ac-NN(5,5)-(actor-lr=1.0e-2)-(67-params)",classic_NN,20
0.01,0,99.28715515136719,-0.013524935580790043,0.6037379503250122,49.62401580810547,0.011058652773499489,0.004063754342496395,0.03515625,-0.015342950820922852,265,1,5632,CartPole-v1,"CP-ppo-ac-NN(5,5)-(actor-lr=1.0e-2)-(67-params)",classic_NN,20
0.01,0,93.19284057617188,-0.010102354921400547,0.6320868730545044,46.57999801635742,0.012669909745454788,0.0034855289850383997,0.0126953125,0.05163532495498657,265,1,6144,CartPole-v1,"CP-ppo-ac-NN(5,5)-(actor-lr=1.0e-2)-(67-params)",classic_NN,20
0.01,0,97.9104232788086,-0.014011802151799202,0.553292989730835,48.935665130615234,0.01201215386390686,0.006725081242620945,0.11865234375,0.05639207363128662,265,1,6656,CartPole-v1,"CP-ppo-ac-NN(5,5)-(actor-lr=1.0e-2)-(67-params)",classic_NN,20
0.01,0,83.81782531738281,-0.0189182348549366,0.5649228096008301,41.88434600830078,0.0014021028764545918,0.009962962940335274,0.10546875,0.005192577838897705,265,1,7168,CartPole-v1,"CP-ppo-ac-NN(5,5)-(actor-lr=1.0e-2)-(67-params)",classic_NN,20
0.01,0,91.3794174194336,-0.0007602870464324951,0.5204838514328003,45.68374252319336,0.010844709351658821,0.007078572642058134,0.09423828125,0.015208065509796143,264,1,7680,CartPole-v1,"CP-ppo-ac-NN(5,5)-(actor-lr=1.0e-2)-(67-params)",classic_NN,20
0.01,0,103.95453643798828,0.0027863122522830963,0.5629888772964478,51.97442626953125,0.0050874631851911545,0.0026507521979510784,0.005859375,0.0026668906211853027,264,1,8192,CartPole-v1,"CP-ppo-ac-NN(5,5)-(actor-lr=1.0e-2)-(67-params)",classic_NN,20
0.01,0,95.29212951660156,-0.02774948626756668,0.5801087617874146,47.61251449584961,0.031021762639284134,0.008947448804974556,0.15966796875,0.06034976243972778,264,1,8704,CartPole-v1,"CP-ppo-ac-NN(5,5)-(actor-lr=1.0e-2)-(67-params)",classic_NN,20
0.01,0,87.2904052734375,-0.021622635424137115,0.5681028366088867,43.61790084838867,0.005261732265353203,0.0026760073378682137,0.0625,-0.015883922576904297,264,1,9216,CartPole-v1,"CP-ppo-ac-NN(5,5)-(actor-lr=1.0e-2)-(67-params)",classic_NN,20
0.01,0,104.74369812011719,0.014577606692910194,0.5845500230789185,52.38058090209961,0.006125718355178833,0.0038896193727850914,0.07421875,-0.04543101787567139,264,1,9728,CartPole-v1,"CP-ppo-ac-NN(5,5)-(actor-lr=1.0e-2)-(67-params)",classic_NN,20
0.01,0,80.87505340576172,-0.015179297886788845,0.6042031645774841,40.41630554199219,0.023566365242004395,0.010824806988239288,0.07568359375,-0.0936436653137207,264,1,10240,CartPole-v1,"CP-ppo-ac-NN(5,5)-(actor-lr=1.0e-2)-(67-params)",classic_NN,20
0.01,0,96.88438415527344,0.011300195008516312,0.6088880300521851,48.44740295410156,0.01833280920982361,0.005797306075692177,0.02099609375,-0.07024180889129639,264,1,10752,CartPole-v1,"CP-ppo-ac-NN(5,5)-(actor-lr=1.0e-2)-(67-params)",classic_NN,20
0.01,0,85.32656860351562,-0.004676459357142448,0.6319699883460999,42.652286529541016,0.026110544800758362,0.007625131402164698,0.0908203125,-0.09747791290283203,264,1,11264,CartPole-v1,"CP-ppo-ac-NN(5,5)-(actor-lr=1.0e-2)-(67-params)",classic_NN,20
0.01,0,89.54277038574219,0.001603471115231514,0.5994194746017456,44.76699447631836,-0.01812363788485527,0.005778617225587368,0.2333984375,0.02193307876586914,264,1,11776,CartPole-v1,"CP-ppo-ac-NN(5,5)-(actor-lr=1.0e-2)-(67-params)",classic_NN,20
0.01,0,89.67689514160156,-0.008757060393691063,0.5573360919952393,44.82411575317383,0.01136130839586258,0.006707130931317806,0.0546875,-0.038968563079833984,264,1,12288,CartPole-v1,"CP-ppo-ac-NN(5,5)-(actor-lr=1.0e-2)-(67-params)",classic_NN,20
