episode_reward,episode_length,global_step,gym_id,exp_name,circuit,seed
17.0,17,68,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
23.0,23,92,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
26.0,26,104,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
13.0,13,120,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
37.0,37,148,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
12.0,12,168,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
19.0,19,180,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
14.0,14,204,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
11.0,11,212,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
13.0,13,256,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
20.0,20,260,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
19.0,19,288,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
57.0,57,320,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
21.0,21,340,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
14.0,14,344,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
12.0,12,368,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
20.0,20,424,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
25.0,25,468,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
53.0,53,472,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
40.0,40,500,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
17.0,17,536,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
16.0,16,536,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
42.0,42,592,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
19.0,19,612,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
38.0,38,652,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
29.0,29,652,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
15.0,15,652,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
11.0,11,696,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
23.0,23,704,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
23.0,23,744,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
19.0,19,772,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
34.0,34,788,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
16.0,16,808,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
13.0,13,840,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
22.0,22,860,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
42.0,42,872,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
15.0,15,920,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
13.0,13,924,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
31.0,31,932,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
25.0,25,940,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
11.0,11,964,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
13.0,13,984,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
19.0,19,1000,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
15.0,15,1000,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
11.0,11,1008,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
14.0,14,1040,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
11.0,11,1084,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
28.0,28,1112,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
33.0,33,1132,CartPole-v1,"CP-ppo-ac-NN(5,5)-actorlr((25-5)e-5,ht=150000)-(67-params)",classic_NN,50
