learning_rate,qlearning_rate,value_loss,policy_loss,entropy,loss,old_approx_kl,approx_kl,clipfrac,explained_variance,SPS,output_scaleing,global_step,gym_id,exp_name,circuit,seed
0.0025,0,42.487220764160156,-0.013959348201751709,0.6908916234970093,21.222742080688477,0.004379916936159134,0.0021202131174504757,0.0,0.009825706481933594,178,1,512,CartPole-v1,"CP-ppo-ac-NN(6,6)-(lr=2.5e-3)-(86-params)-record-insider-info",classic_NN_6-6,30
0.0025,0,44.170196533203125,-0.007542770355939865,0.6808043718338013,22.07074737548828,0.007730536628514528,0.003637882648035884,0.0,-0.004659891128540039,177,1,1024,CartPole-v1,"CP-ppo-ac-NN(6,6)-(lr=2.5e-3)-(86-params)-record-insider-info",classic_NN_6-6,30
0.0025,0,51.071346282958984,-0.012013851664960384,0.6640444397926331,25.517019271850586,-0.0022107467520982027,0.004089694935828447,0.0,0.01962810754776001,177,1,1536,CartPole-v1,"CP-ppo-ac-NN(6,6)-(lr=2.5e-3)-(86-params)-record-insider-info",classic_NN_6-6,30
0.0025,0,48.01591491699219,-0.004551492631435394,0.6359870433807373,23.997045516967773,0.011481152847409248,0.006157047115266323,0.0068359375,0.028628647327423096,177,1,2048,CartPole-v1,"CP-ppo-ac-NN(6,6)-(lr=2.5e-3)-(86-params)-record-insider-info",classic_NN_6-6,30
0.0025,0,48.23485565185547,-0.015186628326773643,0.6172752380371094,24.0960693359375,0.022946132346987724,0.004917647689580917,0.00146484375,0.010352015495300293,176,1,2560,CartPole-v1,"CP-ppo-ac-NN(6,6)-(lr=2.5e-3)-(86-params)-record-insider-info",classic_NN_6-6,30
0.0025,0,67.98393249511719,-0.02448328584432602,0.6097573637962341,33.96138381958008,0.012791762128472328,0.005676458589732647,0.00341796875,0.018084228038787842,177,1,3072,CartPole-v1,"CP-ppo-ac-NN(6,6)-(lr=2.5e-3)-(86-params)-record-insider-info",classic_NN_6-6,30
0.0025,0,70.21914672851562,-0.00430980883538723,0.6065469980239868,35.09919738769531,0.0036015985533595085,0.002664431929588318,0.0009765625,0.06794971227645874,177,1,3584,CartPole-v1,"CP-ppo-ac-NN(6,6)-(lr=2.5e-3)-(86-params)-record-insider-info",classic_NN_6-6,30
0.0025,0,76.40300750732422,-0.007538788020610809,0.6008360385894775,38.187957763671875,0.00686883507296443,0.004640180617570877,0.00341796875,0.07217371463775635,177,1,4096,CartPole-v1,"CP-ppo-ac-NN(6,6)-(lr=2.5e-3)-(86-params)-record-insider-info",classic_NN_6-6,30
0.0025,0,76.6044921875,-0.009283777326345444,0.587914764881134,38.28708267211914,0.012692315503954887,0.0025501414202153683,0.0,0.08661943674087524,177,1,4608,CartPole-v1,"CP-ppo-ac-NN(6,6)-(lr=2.5e-3)-(86-params)-record-insider-info",classic_NN_6-6,30
0.0025,0,67.46690368652344,-0.0013457797467708588,0.6028029918670654,33.726078033447266,0.0013865556102246046,0.0006787588354200125,0.0,0.001412808895111084,178,1,5120,CartPole-v1,"CP-ppo-ac-NN(6,6)-(lr=2.5e-3)-(86-params)-record-insider-info",classic_NN_6-6,30
0.0025,0,72.73641204833984,-0.017210040241479874,0.5664509534835815,36.345333099365234,0.02229863405227661,0.005914759822189808,0.01171875,0.05598992109298706,177,1,5632,CartPole-v1,"CP-ppo-ac-NN(6,6)-(lr=2.5e-3)-(86-params)-record-insider-info",classic_NN_6-6,30
0.0025,0,88.74735260009766,0.0002780165523290634,0.5901401042938232,44.3680534362793,-0.0016799087170511484,0.008257168345153332,0.013671875,0.11693781614303589,177,1,6144,CartPole-v1,"CP-ppo-ac-NN(6,6)-(lr=2.5e-3)-(86-params)-record-insider-info",classic_NN_6-6,30
0.0025,0,61.96808624267578,-0.022685017436742783,0.519768238067627,30.956159591674805,0.0020674511324614286,0.00366915762424469,0.00048828125,-0.004938483238220215,177,1,6656,CartPole-v1,"CP-ppo-ac-NN(6,6)-(lr=2.5e-3)-(86-params)-record-insider-info",classic_NN_6-6,30
0.0025,0,72.89269256591797,-0.003341786563396454,0.523144006729126,36.437774658203125,0.005195705220103264,0.00980793684720993,0.02294921875,0.09029579162597656,177,1,7168,CartPole-v1,"CP-ppo-ac-NN(6,6)-(lr=2.5e-3)-(86-params)-record-insider-info",classic_NN_6-6,30
0.0025,0,73.57807159423828,-0.011930503882467747,0.5625892281532288,36.771480560302734,0.004099101759493351,0.0005547709297388792,0.0,0.20337271690368652,177,1,7680,CartPole-v1,"CP-ppo-ac-NN(6,6)-(lr=2.5e-3)-(86-params)-record-insider-info",classic_NN_6-6,30
0.0025,0,71.19135284423828,-0.007530493661761284,0.520144522190094,35.582942962646484,0.0012445957399904728,0.0030218507163226604,0.0,0.17955178022384644,177,1,8192,CartPole-v1,"CP-ppo-ac-NN(6,6)-(lr=2.5e-3)-(86-params)-record-insider-info",classic_NN_6-6,30
0.0025,0,68.89009094238281,-0.0021632984280586243,0.5480901002883911,34.437400817871094,-0.0015711488667875528,0.0011093893554061651,0.0,0.11353331804275513,177,1,8704,CartPole-v1,"CP-ppo-ac-NN(6,6)-(lr=2.5e-3)-(86-params)-record-insider-info",classic_NN_6-6,30
0.0025,0,67.21630096435547,-0.001347527839243412,0.5672866702079773,33.601131439208984,0.005562468897551298,0.0014976789243519306,0.0,0.36087870597839355,177,1,9216,CartPole-v1,"CP-ppo-ac-NN(6,6)-(lr=2.5e-3)-(86-params)-record-insider-info",classic_NN_6-6,30
0.0025,0,69.9158935546875,0.00117211090400815,0.5814432501792908,34.953304290771484,0.01214098185300827,0.004611988551914692,0.00390625,0.3675004243850708,177,1,9728,CartPole-v1,"CP-ppo-ac-NN(6,6)-(lr=2.5e-3)-(86-params)-record-insider-info",classic_NN_6-6,30
0.0025,0,64.39486694335938,-0.01686728373169899,0.5522481799125671,32.175045013427734,0.005268119275569916,0.0023830116260796785,0.0,0.4496520757675171,176,1,10240,CartPole-v1,"CP-ppo-ac-NN(6,6)-(lr=2.5e-3)-(86-params)-record-insider-info",classic_NN_6-6,30
0.0025,0,54.87650680541992,-0.014451835304498672,0.5686368942260742,27.418115615844727,0.020771950483322144,0.006523130461573601,0.01953125,0.498440682888031,176,1,10752,CartPole-v1,"CP-ppo-ac-NN(6,6)-(lr=2.5e-3)-(86-params)-record-insider-info",classic_NN_6-6,30
0.0025,0,62.771728515625,-0.00032210536301136017,0.5410395264625549,31.3801326751709,0.0018497726414352655,0.0007099006325006485,0.0,0.07660818099975586,176,1,11264,CartPole-v1,"CP-ppo-ac-NN(6,6)-(lr=2.5e-3)-(86-params)-record-insider-info",classic_NN_6-6,30
0.0025,0,57.091190338134766,0.0005141990259289742,0.568120002746582,28.540428161621094,0.0004761351738125086,6.959936581552029e-05,0.0,0.5269275903701782,176,1,11776,CartPole-v1,"CP-ppo-ac-NN(6,6)-(lr=2.5e-3)-(86-params)-record-insider-info",classic_NN_6-6,30
0.0025,0,66.3127212524414,-0.0020339787006378174,0.56815505027771,33.148643493652344,-0.00043294928036630154,0.0005628035869449377,0.0,0.43985140323638916,176,1,12288,CartPole-v1,"CP-ppo-ac-NN(6,6)-(lr=2.5e-3)-(86-params)-record-insider-info",classic_NN_6-6,30
