learning_rate,qlearning_rate,value_loss,policy_loss,entropy,loss,old_approx_kl,approx_kl,clipfrac,explained_variance,SPS,output_scaleing,global_step,gym_id,exp_name,circuit,seed
0.00025,0.0025,43.103050231933594,-0.008750300854444504,0.6590560674667358,21.536184310913086,0.004803022835403681,0.0059653762727975845,0.01513671875,-0.0270383358001709,2,0.9999421332110575,512,CartPole-v1,CP-qppo-ac-simple_reuploading-arctan-x1-rescale-exp_sced-ht100000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-allsmallinit-(73-params),simple_reuploading,10
0.00025,0.0024914841020537487,45.36855697631836,-0.01330721378326416,0.6510789394378662,22.664461135864258,0.013657117262482643,0.002996123395860195,0.00048828125,-0.05611312389373779,2,1.0009652675874852,1024,CartPole-v1,CP-qppo-ac-simple_reuploading-arctan-x1-rescale-exp_sced-ht100000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-allsmallinit-(73-params),simple_reuploading,10
0.00025,0.0024829984209899267,62.89446258544922,-0.01740436628460884,0.6333080530166626,31.423494338989258,-0.005838875658810139,0.0030690529383718967,0.00341796875,-0.0555574893951416,2,1.002318395546988,1536,CartPole-v1,CP-qppo-ac-simple_reuploading-arctan-x1-rescale-exp_sced-ht100000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-allsmallinit-(73-params),simple_reuploading,10
0.00025,0.002474542849590248,60.51823806762695,-0.01390533335506916,0.6225760579109192,30.238988876342773,0.012740157544612885,0.004933021496981382,0.005859375,-0.06487441062927246,2,1.0039672115400662,2048,CartPole-v1,CP-qppo-ac-simple_reuploading-arctan-x1-rescale-exp_sced-ht100000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-allsmallinit-(73-params),simple_reuploading,10
0.00025,0.002466117281016868,76.2969741821289,-0.03044811263680458,0.6145578026771545,38.11189270019531,0.008313708007335663,0.0028253928758203983,0.00244140625,-0.031314969062805176,2,1.0055355725076598,2560,CartPole-v1,CP-qppo-ac-simple_reuploading-arctan-x1-rescale-exp_sced-ht100000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-allsmallinit-(73-params),simple_reuploading,10
0.00025,0.002457721608811034,73.59318542480469,-0.011289658024907112,0.6147043704986572,36.77915573120117,0.0013429159298539162,0.0035812126006931067,0.01123046875,-0.01909172534942627,2,1.0068063798629545,3072,CartPole-v1,CP-qppo-ac-simple_reuploading-arctan-x1-rescale-exp_sced-ht100000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-allsmallinit-(73-params),simple_reuploading,10
0.00025,0.0024493557268917394,85.65331268310547,-0.006108375266194344,0.6216692924499512,42.8143310546875,0.003613719018176198,0.0015533429104834795,0.00390625,0.02646535634994507,2,1.0085057398392216,3584,CartPole-v1,CP-qppo-ac-simple_reuploading-arctan-x1-rescale-exp_sced-ht100000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-allsmallinit-(73-params),simple_reuploading,10
0.00025,0.0024410195295543847,68.97663116455078,-0.014165088534355164,0.6081745624542236,34.46806716918945,-0.00034904410131275654,0.0043378896079957485,0.01123046875,-0.14988553524017334,2,1.010227197797511,4096,CartPole-v1,CP-qppo-ac-simple_reuploading-arctan-x1-rescale-exp_sced-ht100000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-allsmallinit-(73-params),simple_reuploading,10
0.00025,0.00243271291146944,72.66825103759766,-0.01919642835855484,0.5726962089538574,36.309200286865234,0.015243852511048317,0.0030907071195542812,0.00732421875,-0.015348434448242188,2,1.0123611232336436,4608,CartPole-v1,CP-qppo-ac-simple_reuploading-arctan-x1-rescale-exp_sced-ht100000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-allsmallinit-(73-params),simple_reuploading,10
0.00025,0.0024244357676811166,87.94813537597656,-0.008738599717617035,0.6140466928482056,43.959190368652344,0.009027334861457348,0.003066019853577018,0.00634765625,-0.1882237195968628,2,1.013889420271095,5120,CartPole-v1,CP-qppo-ac-simple_reuploading-arctan-x1-rescale-exp_sced-ht100000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-allsmallinit-(73-params),simple_reuploading,10
