learning_rate,qlearning_rate,value_loss,policy_loss,entropy,loss,old_approx_kl,approx_kl,clipfrac,explained_variance,SPS,output_scaleing,global_step,gym_id,exp_name,circuit,seed
0.00025,0.0025,37.860870361328125,-0.045143380761146545,0.656530499458313,18.878726959228516,-0.0010612746700644493,0.011036485433578491,0.0361328125,0.013662993907928467,2,1.000286948471625,512,CartPole-v1,CP-qppo-ac-simple_reuploading-exp_sced-ht_50000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-(73-params)-allsmallinit,simple_reuploading,30
0.00025,0.0024829110967302215,56.92790603637695,-0.008657505735754967,0.6447811126708984,28.4488468170166,-0.012033086270093918,0.003390222555026412,0.001953125,0.003624856472015381,2,1.0012886138628934,1024,CartPole-v1,CP-qppo-ac-simple_reuploading-exp_sced-ht_50000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-(73-params)-allsmallinit,simple_reuploading,30
0.00025,0.0024659438728833446,55.91380310058594,-0.011323200538754463,0.6440050601959229,27.939138412475586,0.0011266632936894894,0.00150980893522501,0.0,-0.002704620361328125,2,1.0022713211707455,1536,CartPole-v1,CP-qppo-ac-simple_reuploading-exp_sced-ht_50000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-(73-params)-allsmallinit,simple_reuploading,30
0.00025,0.002449097462056083,65.38724517822266,0.0017715319991111755,0.6417874097824097,32.6889762878418,-0.0025537293404340744,0.0018301652744412422,0.0,-0.049297332763671875,2,1.0034402546393855,2048,CartPole-v1,CP-qppo-ac-simple_reuploading-exp_sced-ht_50000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-(73-params)-allsmallinit,simple_reuploading,30
0.00025,0.002432371004014267,54.73733901977539,-0.01078992709517479,0.6451634764671326,27.35142707824707,0.004322009161114693,0.0018856341484934092,0.0009765625,-0.02795255184173584,2,1.0049623208699927,2560,CartPole-v1,CP-qppo-ac-simple_reuploading-exp_sced-ht_50000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-(73-params)-allsmallinit,simple_reuploading,30
0.00025,0.0024157636446489185,62.6351203918457,-0.011198324151337147,0.6401820182800293,31.299959182739258,0.00478747021406889,0.0011399893555790186,0.0,0.0131072998046875,2,1.0069498568584614,3072,CartPole-v1,CP-qppo-ac-simple_reuploading-exp_sced-ht_50000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-(73-params)-allsmallinit,simple_reuploading,30
0.00025,0.002399274535932637,54.290409088134766,-0.012910474091768265,0.6412979364395142,27.12588119506836,0.005113457329571247,0.0010278925765305758,0.0,-0.01025700569152832,2,1.0084456663151875,3584,CartPole-v1,CP-qppo-ac-simple_reuploading-exp_sced-ht_50000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-(73-params)-allsmallinit,simple_reuploading,30
0.00025,0.0023829028358762967,58.89076614379883,-0.010823637247085571,0.629721462726593,29.42826271057129,0.003088659606873989,0.0012708087451756,0.0,0.008016884326934814,2,1.0100667782747765,4096,CartPole-v1,CP-qppo-ac-simple_reuploading-exp_sced-ht_50000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-(73-params)-allsmallinit,simple_reuploading,30
0.00025,0.0023666477084860493,55.70458984375,-0.0033141300082206726,0.6360409259796143,27.842620849609375,0.003478319151327014,0.00100922049023211,0.0,0.03863048553466797,2,1.0118107321342051,4608,CartPole-v1,CP-qppo-ac-simple_reuploading-exp_sced-ht_50000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-(73-params)-allsmallinit,simple_reuploading,30
0.00025,0.0023505083237206396,81.43171691894531,-0.009681262075901031,0.6362403035163879,40.69981384277344,-0.002736132126301527,0.001870353240519762,0.00048828125,0.06045341491699219,2,1.0132222964445368,5120,CartPole-v1,CP-qppo-ac-simple_reuploading-exp_sced-ht_50000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-(73-params)-allsmallinit,simple_reuploading,30
0.00025,0.002334483857449017,87.46935272216797,0.0008234838023781776,0.6315956711769104,43.729183197021484,0.001483042724430561,0.0008296305313706398,0.0,0.026283204555511475,2,1.0145810307404195,5632,CartPole-v1,CP-qppo-ac-simple_reuploading-exp_sced-ht_50000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-(73-params)-allsmallinit,simple_reuploading,30
0.00025,0.0023185734914082557,70.80352783203125,-0.019761038944125175,0.6282837390899658,35.3757209777832,0.010809816420078278,0.0022779267746955156,0.00146484375,0.014490127563476562,2,1.0162627155496584,6144,CartPole-v1,CP-qppo-ac-simple_reuploading-exp_sced-ht_50000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-(73-params)-allsmallinit,simple_reuploading,30
0.00025,0.002302776413161768,76.18438720703125,-0.005877844989299774,0.6377497911453247,38.07993698120117,0.0031905397772789,0.0016813755501061678,0.0,0.05655086040496826,2,1.0176974698886687,6656,CartPole-v1,CP-qppo-ac-simple_reuploading-exp_sced-ht_50000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-(73-params)-allsmallinit,simple_reuploading,30
0.00025,0.002287091816057822,68.75628662109375,-0.014108531177043915,0.6283049583435059,34.357749938964844,0.002287391573190689,0.0019758976995944977,0.00048828125,0.07189780473709106,2,1.0189864810398173,7168,CartPole-v1,CP-qppo-ac-simple_reuploading-exp_sced-ht_50000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-(73-params)-allsmallinit,simple_reuploading,30
0.00025,0.0022715188991883485,65.8414306640625,0.0010988079011440277,0.6340618133544922,32.91547393798828,-0.002478308044373989,0.0005741310305893421,0.0,0.041477322578430176,2,1.0203771060004758,7680,CartPole-v1,CP-qppo-ac-simple_reuploading-exp_sced-ht_50000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-(73-params)-allsmallinit,simple_reuploading,30
0.00025,0.002256056867348046,82.61068725585938,-0.0025822632014751434,0.6301887035369873,41.29645919799805,-0.0036074782256036997,0.0009942979086190462,0.0,0.029130101203918457,2,1.0217660567654938,8192,CartPole-v1,CP-qppo-ac-simple_reuploading-exp_sced-ht_50000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-(73-params)-allsmallinit,simple_reuploading,30
0.00025,0.0022407049309937743,68.80108642578125,-0.007059138268232346,0.6356225609779358,34.38712692260742,-0.0008073495700955391,0.0014444156549870968,0.0,-0.03349101543426514,2,1.0233091477538505,8704,CartPole-v1,CP-qppo-ac-simple_reuploading-exp_sced-ht_50000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-(73-params)-allsmallinit,simple_reuploading,30
0.00025,0.0022254623062042365,68.05123901367188,-0.00037752091884613037,0.6335839033126831,34.01890563964844,0.0016000187024474144,0.0004229634068906307,0.0,0.012755513191223145,2,1.0248118515657092,9216,CartPole-v1,CP-qppo-ac-simple_reuploading-exp_sced-ht_50000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-(73-params)-allsmallinit,simple_reuploading,30
0.00025,0.0022103282146399513,65.60701751708984,-0.014106642454862595,0.6263728737831116,32.783138275146484,0.0005761438515037298,0.0018598942551761866,0.00048828125,0.02280580997467041,2,1.0261547876034824,9728,CartPole-v1,CP-qppo-ac-simple_reuploading-exp_sced-ht_50000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-(73-params)-allsmallinit,simple_reuploading,30
0.00025,0.002195301883503507,73.81548309326172,-0.00830279104411602,0.6274971961975098,36.893165588378906,0.00558543112128973,0.0035201888531446457,0.00634765625,0.024375319480895996,2,1.0270446390038657,10240,CartPole-v1,CP-qppo-ac-simple_reuploading-exp_sced-ht_50000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-(73-params)-allsmallinit,simple_reuploading,30
0.00025,0.0021803825455001,70.30769348144531,-0.0045411549508571625,0.6217675805091858,35.143089294433594,0.005021606106311083,0.0015193906147032976,0.0,0.010590910911560059,2,1.0281972449495447,10752,CartPole-v1,CP-qppo-ac-simple_reuploading-exp_sced-ht_50000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-(73-params)-allsmallinit,simple_reuploading,30
0.00025,0.0021655694387983557,67.40496063232422,-0.01218971237540245,0.6288455724716187,33.68400192260742,0.008968375623226166,0.0013818773441016674,0.0,0.031655311584472656,2,1.0298872703812938,11264,CartPole-v1,CP-qppo-ac-simple_reuploading-exp_sced-ht_50000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-(73-params)-allsmallinit,simple_reuploading,30
0.00025,0.002150861806991424,71.03548431396484,-0.007141973823308945,0.6359814405441284,35.504241943359375,0.0015795789659023285,0.0009252899326384068,0.0,0.03342795372009277,2,1.0311393817804622,11776,CartPole-v1,CP-qppo-ac-simple_reuploading-exp_sced-ht_50000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-(73-params)-allsmallinit,simple_reuploading,30
0.00025,0.0021362588990583575,78.51935577392578,-0.007167834788560867,0.6399199366569519,39.24610900878906,0.003189131850376725,0.0006615342572331429,0.0,0.016562700271606445,2,1.0324813933457653,12288,CartPole-v1,CP-qppo-ac-simple_reuploading-exp_sced-ht_50000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-(73-params)-allsmallinit,simple_reuploading,30
0.00025,0.0021217599693257603,64.13504791259766,-0.009023305028676987,0.6195539236068726,32.052303314208984,0.0035083319526165724,0.0011782057117670774,0.0,-0.000836491584777832,2,1.0341910812754727,12800,CartPole-v1,CP-qppo-ac-simple_reuploading-exp_sced-ht_50000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-(73-params)-allsmallinit,simple_reuploading,30
0.00025,0.002107364277429711,76.37736511230469,-0.008076168596744537,0.6284078359603882,38.17432403564453,0.002222408540546894,0.002850276418030262,0.00390625,0.03075653314590454,2,1.0352406735863529,13312,CartPole-v1,CP-qppo-ac-simple_reuploading-exp_sced-ht_50000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-(73-params)-allsmallinit,simple_reuploading,30
0.00025,0.002093071088277959,61.52566909790039,-0.005218512378633022,0.6360893249511719,30.75125503540039,0.00795056950300932,0.0011413735337555408,0.0,0.021792232990264893,2,1.0364708337155801,13824,CartPole-v1,CP-qppo-ac-simple_reuploading-exp_sced-ht_50000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-(73-params)-allsmallinit,simple_reuploading,30
0.00025,0.0020788796720123863,60.93390655517578,-0.0074047911912202835,0.6373298764228821,30.453174591064453,0.007299425080418587,0.0016021127812564373,0.0,0.06694728136062622,2,1.0375159451464488,14336,CartPole-v1,CP-qppo-ac-simple_reuploading-exp_sced-ht_50000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-(73-params)-allsmallinit,simple_reuploading,30
0.00025,0.00206478930397174,57.83042907714844,-0.013529682531952858,0.6244967579841614,28.89543914794922,0.0031302268616855145,0.0018332779873162508,0.00048828125,0.047191083431243896,2,1.0389675269695076,14848,CartPole-v1,CP-qppo-ac-simple_reuploading-exp_sced-ht_50000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-(73-params)-allsmallinit,simple_reuploading,30
0.00025,0.0020507992646546284,66.64203643798828,0.003655431792140007,0.638492226600647,33.31828689575195,0.0021061270963400602,0.0026141805574297905,0.0,0.03396564722061157,2,1.0407456411031188,15360,CartPole-v1,CP-qppo-ac-simple_reuploading-exp_sced-ht_50000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-(73-params)-allsmallinit,simple_reuploading,30
0.00025,0.002036908839682779,80.9070816040039,-0.002734464593231678,0.6303307414054871,40.44450378417969,0.00033837510272860527,0.00022557098418474197,0.0,0.02707618474960327,2,1.0422682600202644,15872,CartPole-v1,CP-qppo-ac-simple_reuploading-exp_sced-ht_50000-start-qlr2.5e-3-end-qlr1e-4-output_scaleing-1param-1e-4-(73-params)-allsmallinit,simple_reuploading,30
