episode_reward,episode_length,global_step,gym_id,exp_name,circuit,seed
9.0,9,36,CartPole-v1,"CP-qppo-ac-simple_reuploading_sharedInpScale-exp_sced-ht_80000-qlr(25->1)e-4-OutScale(1e-3)-allsmallinit-(77-params),",simple_reuploading_with_shared_input_scaleing,10
16.0,16,64,CartPole-v1,"CP-qppo-ac-simple_reuploading_sharedInpScale-exp_sced-ht_80000-qlr(25->1)e-4-OutScale(1e-3)-allsmallinit-(77-params),",simple_reuploading_with_shared_input_scaleing,10
17.0,17,68,CartPole-v1,"CP-qppo-ac-simple_reuploading_sharedInpScale-exp_sced-ht_80000-qlr(25->1)e-4-OutScale(1e-3)-allsmallinit-(77-params),",simple_reuploading_with_shared_input_scaleing,10
21.0,21,84,CartPole-v1,"CP-qppo-ac-simple_reuploading_sharedInpScale-exp_sced-ht_80000-qlr(25->1)e-4-OutScale(1e-3)-allsmallinit-(77-params),",simple_reuploading_with_shared_input_scaleing,10
13.0,13,120,CartPole-v1,"CP-qppo-ac-simple_reuploading_sharedInpScale-exp_sced-ht_80000-qlr(25->1)e-4-OutScale(1e-3)-allsmallinit-(77-params),",simple_reuploading_with_shared_input_scaleing,10
18.0,18,136,CartPole-v1,"CP-qppo-ac-simple_reuploading_sharedInpScale-exp_sced-ht_80000-qlr(25->1)e-4-OutScale(1e-3)-allsmallinit-(77-params),",simple_reuploading_with_shared_input_scaleing,10
16.0,16,148,CartPole-v1,"CP-qppo-ac-simple_reuploading_sharedInpScale-exp_sced-ht_80000-qlr(25->1)e-4-OutScale(1e-3)-allsmallinit-(77-params),",simple_reuploading_with_shared_input_scaleing,10
12.0,12,184,CartPole-v1,"CP-qppo-ac-simple_reuploading_sharedInpScale-exp_sced-ht_80000-qlr(25->1)e-4-OutScale(1e-3)-allsmallinit-(77-params),",simple_reuploading_with_shared_input_scaleing,10
23.0,23,212,CartPole-v1,"CP-qppo-ac-simple_reuploading_sharedInpScale-exp_sced-ht_80000-qlr(25->1)e-4-OutScale(1e-3)-allsmallinit-(77-params),",simple_reuploading_with_shared_input_scaleing,10
44.0,44,212,CartPole-v1,"CP-qppo-ac-simple_reuploading_sharedInpScale-exp_sced-ht_80000-qlr(25->1)e-4-OutScale(1e-3)-allsmallinit-(77-params),",simple_reuploading_with_shared_input_scaleing,10
19.0,19,224,CartPole-v1,"CP-qppo-ac-simple_reuploading_sharedInpScale-exp_sced-ht_80000-qlr(25->1)e-4-OutScale(1e-3)-allsmallinit-(77-params),",simple_reuploading_with_shared_input_scaleing,10
18.0,18,256,CartPole-v1,"CP-qppo-ac-simple_reuploading_sharedInpScale-exp_sced-ht_80000-qlr(25->1)e-4-OutScale(1e-3)-allsmallinit-(77-params),",simple_reuploading_with_shared_input_scaleing,10
15.0,15,272,CartPole-v1,"CP-qppo-ac-simple_reuploading_sharedInpScale-exp_sced-ht_80000-qlr(25->1)e-4-OutScale(1e-3)-allsmallinit-(77-params),",simple_reuploading_with_shared_input_scaleing,10
12.0,12,272,CartPole-v1,"CP-qppo-ac-simple_reuploading_sharedInpScale-exp_sced-ht_80000-qlr(25->1)e-4-OutScale(1e-3)-allsmallinit-(77-params),",simple_reuploading_with_shared_input_scaleing,10
