episode_reward,episode_length,global_step,gym_id,exp_name,circuit,seed
16.0,16,64,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
16.0,16,64,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
17.0,17,68,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
14.0,14,120,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
35.0,35,140,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
14.0,14,176,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
30.0,30,184,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
18.0,18,212,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
46.0,46,252,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
22.0,22,272,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
20.0,20,332,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
46.0,46,360,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
13.0,13,384,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
46.0,46,396,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
38.0,38,424,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
17.0,17,428,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
21.0,21,480,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
26.0,26,488,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
22.0,22,516,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
29.0,29,540,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
16.0,16,544,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
19.0,19,564,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
14.0,14,572,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
13.0,13,616,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
19.0,19,616,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
23.0,23,636,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
20.0,20,652,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
10.0,10,692,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
16.0,16,700,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
23.0,23,708,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
30.0,30,736,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
12.0,12,756,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
20.0,20,772,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
12.0,12,804,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
33.0,33,832,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
25.0,25,836,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
18.0,18,844,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
13.0,13,856,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
11.0,11,880,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
12.0,12,904,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
20.0,20,924,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
9.0,9,940,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
11.0,11,984,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
45.0,45,1012,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
33.0,33,1012,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
17.0,17,1052,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
33.0,33,1056,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
13.0,13,1064,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
14.0,14,1120,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
17.0,17,1120,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
30.0,30,1132,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
31.0,31,1180,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
22.0,22,1208,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
25.0,25,1220,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
23.0,23,1224,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
12.0,12,1228,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
17.0,17,1288,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
17.0,17,1292,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
20.0,20,1308,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
26.0,26,1312,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
20.0,20,1372,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
18.0,18,1384,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
29.0,29,1404,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
18.0,18,1444,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
18.0,18,1516,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
34.0,34,1540,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
62.0,62,1556,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
43.0,43,1556,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
18.0,18,1588,CartPole-v1,CP-random-baseline-(0-params),random-baseline,20
