learning_rate,qlearning_rate,value_loss,policy_loss,entropy,loss,old_approx_kl,approx_kl,clipfrac,explained_variance,SPS,output_scaleing,global_step,gym_id,exp_name,circuit,seed
0,0,0,0,0.6931471824645996,0,0,0,0,0,1852,0,512,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1847,0,1024,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1864,0,1536,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1872,0,2048,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1877,0,2560,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1874,0,3072,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1874,0,3584,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1874,0,4096,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1870,0,4608,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1870,0,5120,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1873,0,5632,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1873,0,6144,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1874,0,6656,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1877,0,7168,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1871,0,7680,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1873,0,8192,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1876,0,8704,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1870,0,9216,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1869,0,9728,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1866,0,10240,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1862,0,10752,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1860,0,11264,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1857,0,11776,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1859,0,12288,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1858,0,12800,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1857,0,13312,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1856,0,13824,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1856,0,14336,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1854,0,14848,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1851,0,15360,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1849,0,15872,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1848,0,16384,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1847,0,16896,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1845,0,17408,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1842,0,17920,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1843,0,18432,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1842,0,18944,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1843,0,19456,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1844,0,19968,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1844,0,20480,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1844,0,20992,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1844,0,21504,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1844,0,22016,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1843,0,22528,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1844,0,23040,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1843,0,23552,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1844,0,24064,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1843,0,24576,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1842,0,25088,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1842,0,25600,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1842,0,26112,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1842,0,26624,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1842,0,27136,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1843,0,27648,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
0,0,0,0,0.6931471824645996,0,0,0,0,0,1842,0,28160,CartPole-v1,CP-random-baseline-(0-params),random-baseline,30
