episode_reward,episode_length,global_step,gym_id,exp_name,circuit,seed
-0.21000001,2,8,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.28,9,44,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.29999998,11,44,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.25,6,68,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.26999998,8,76,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.21000001,2,76,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.40000004,21,84,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.21000001,2,92,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.21000001,2,100,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.29,10,116,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.29999998,11,144,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.31,12,164,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.6299999,44,176,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.26999998,8,176,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.22,3,176,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.53,34,212,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.29999998,11,220,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.21000001,2,228,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.25,6,236,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.21000001,2,244,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.25,6,252,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.21000001,2,260,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.32,13,296,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.53999996,35,316,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.26,7,324,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
0.60000014,41,340,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.26999998,8,372,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.21000001,2,380,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.33999997,15,384,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.21000001,2,388,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.37,18,388,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.21000001,2,392,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.21000001,2,400,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.38,19,464,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.41000003,22,476,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
-0.41000003,22,488,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-alt-qppo-ac-NN(4,4)-(lr=1.0e-4)-(108-params)",classic_NN_6-6,40
