learning_rate,qlearning_rate,value_loss,policy_loss,entropy,loss,old_approx_kl,approx_kl,clipfrac,explained_variance,SPS,output_scaleing,global_step,gym_id,exp_name,circuit,seed
0.0001,0,0.05667838454246521,-0.0002619996666908264,1.3862900733947754,0.014214292168617249,0.00018228963017463684,9.015202522277832e-07,0.0,-12.810317993164062,221,1,512,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-qppo-ac-NN(4,4)-(lr=1.0e-4)-altFLenvforBIAStest-(108-params)",classic_NN_6-6,30
0.0001,0,0.03307328000664711,-0.0001419736072421074,1.3862882852554321,0.0025317836552858353,4.073977470397949e-05,4.256144165992737e-07,0.0,-17.372459411621094,234,1,1024,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-qppo-ac-NN(4,4)-(lr=1.0e-4)-altFLenvforBIAStest-(108-params)",classic_NN_6-6,30
0.0001,0,0.01614486612379551,-0.00016663596034049988,1.3862866163253784,-0.0059570688754320145,-0.00025161635130643845,7.208436727523804e-07,0.0,-5.21281099319458,235,1,1536,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-qppo-ac-NN(4,4)-(lr=1.0e-4)-altFLenvforBIAStest-(108-params)",classic_NN_6-6,30
0.0001,0,0.007077586371451616,-0.00013358891010284424,1.3862836360931396,-0.010457632131874561,8.988194167613983e-06,2.849847078323364e-07,0.0,-11.381977081298828,237,1,2048,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-qppo-ac-NN(4,4)-(lr=1.0e-4)-altFLenvforBIAStest-(108-params)",classic_NN_6-6,30
0.0001,0,0.0053099473007023335,-8.239783346652985e-05,1.3862813711166382,-0.011290238238871098,2.6843510568141937e-05,2.5890767574310303e-07,0.0,-0.4735828638076782,238,1,2560,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-qppo-ac-NN(4,4)-(lr=1.0e-4)-altFLenvforBIAStest-(108-params)",classic_NN_6-6,30
0.0001,0,0.0020271979738026857,-0.00032544322311878204,1.386278510093689,-0.013174628838896751,-0.00020629819482564926,1.0970979928970337e-06,0.0,-1.0146043300628662,239,1,3072,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-qppo-ac-NN(4,4)-(lr=1.0e-4)-altFLenvforBIAStest-(108-params)",classic_NN_6-6,30
0.0001,0,0.0007900470518507063,-0.0007638633251190186,1.3862676620483398,-0.014231516048312187,-0.00034394674003124237,2.5830231606960297e-06,0.0,-1.1614034175872803,239,1,3584,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-qppo-ac-NN(4,4)-(lr=1.0e-4)-altFLenvforBIAStest-(108-params)",classic_NN_6-6,30
0.0001,0,0.016497619450092316,-8.565839380025864e-05,1.3862546682357788,-0.005699395202100277,-4.738662391901016e-05,1.3383105397224426e-06,0.0,0.021123409271240234,238,1,4096,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-qppo-ac-NN(4,4)-(lr=1.0e-4)-altFLenvforBIAStest-(108-params)",classic_NN_6-6,30
0.0001,0,0.0007145512499846518,-0.0010592490434646606,1.386235237121582,-0.014564325101673603,0.00027122069150209427,2.6673078536987305e-06,0.0,-0.23781335353851318,237,1,4608,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-qppo-ac-NN(4,4)-(lr=1.0e-4)-altFLenvforBIAStest-(108-params)",classic_NN_6-6,30
0.0001,0,0.01734227128326893,-0.00021081045269966125,1.386208415031433,-0.005401758477091789,3.4700147807598114e-05,1.5865080058574677e-06,0.0,0.0014695525169372559,237,1,5120,Deterministic-ShortestPath-4x4-FrozenLake-v0-alt,"FL-qppo-ac-NN(4,4)-(lr=1.0e-4)-altFLenvforBIAStest-(108-params)",classic_NN_6-6,30
