learning_rate,qlearning_rate,value_loss,policy_loss,entropy,loss,old_approx_kl,approx_kl,clipfrac,explained_variance,SPS,output_scaleing,global_step,gym_id,exp_name,circuit,seed
0.01,0,0.025772390887141228,-0.047039419412612915,1.3683797121047974,-0.047837018966674805,0.024306640028953552,0.017886225134134293,0.10400390625,-14.655118942260742,272,1,512,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-ppo-ac-NN(5)-(actor-lr=1.0e-2)-(109-params),classic_NN,30
0.01,0,0.003264262340962887,-0.025388553738594055,1.3465627431869507,-0.03722205013036728,-0.005510309711098671,0.01359651330858469,0.03369140625,-19.770782470703125,271,1,1024,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-ppo-ac-NN(5)-(actor-lr=1.0e-2)-(109-params),classic_NN,30
0.01,0,0.01529231108725071,-0.005248673260211945,1.3459886312484741,-0.011062405072152615,0.005416440777480602,0.004790087696164846,0.0,-0.21618354320526123,273,1,1536,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-ppo-ac-NN(5)-(actor-lr=1.0e-2)-(109-params),classic_NN,30
0.01,0,0.0006727598956786096,0.005087289027869701,1.3475288152694702,-0.008051618933677673,0.010933262296020985,0.04645046964287758,0.36083984375,0.14737069606781006,274,1,2048,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-ppo-ac-NN(5)-(actor-lr=1.0e-2)-(109-params),classic_NN,30
0.01,0,0.008036348968744278,-0.009068446233868599,1.3341940641403198,-0.018392210826277733,0.0009610629640519619,0.00604097219184041,0.0,0.04371088743209839,272,1,2560,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-ppo-ac-NN(5)-(actor-lr=1.0e-2)-(109-params),classic_NN,30
0.01,0,0.016526861116290092,-0.028916390612721443,1.2589260339736938,-0.03324221819639206,0.0016762958839535713,0.018954791128635406,0.1103515625,0.05590963363647461,271,1,3072,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-ppo-ac-NN(5)-(actor-lr=1.0e-2)-(109-params),classic_NN,30
0.01,0,0.013237671926617622,-0.03511207550764084,1.170685052871704,-0.040200091898441315,0.04019266739487648,0.019358543679118156,0.13134765625,0.12076258659362793,271,1,3584,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-ppo-ac-NN(5)-(actor-lr=1.0e-2)-(109-params),classic_NN,30
0.01,0,0.05043661221861839,-0.049615487456321716,1.0711541175842285,-0.03510872274637222,0.03810352832078934,0.02757064625620842,0.189453125,0.214951753616333,270,1,4096,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-ppo-ac-NN(5)-(actor-lr=1.0e-2)-(109-params),classic_NN,30
0.01,0,0.10538129508495331,-0.05344502627849579,0.8308048844337463,-0.009062428027391434,0.056811291724443436,0.04518413543701172,0.20068359375,0.22285985946655273,270,1,4608,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-ppo-ac-NN(5)-(actor-lr=1.0e-2)-(109-params),classic_NN,30
0.01,0,0.10068760812282562,-0.043575916439294815,0.6523508429527283,0.00024437904357910156,0.02718285098671913,0.031903546303510666,0.13037109375,0.2303682565689087,269,1,5120,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-ppo-ac-NN(5)-(actor-lr=1.0e-2)-(109-params),classic_NN,30
0.01,0,0.06900285184383392,-0.02942606806755066,0.5193584561347961,-0.0001182258129119873,-0.0025726323947310448,0.012605858966708183,0.07861328125,0.08591216802597046,269,1,5632,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-ppo-ac-NN(5)-(actor-lr=1.0e-2)-(109-params),classic_NN,30
0.01,0,0.043181970715522766,-0.01976514235138893,0.4205421805381775,-0.0023795776069164276,0.015749521553516388,0.0092014716938138,0.04443359375,0.021746277809143066,269,1,6144,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-ppo-ac-NN(5)-(actor-lr=1.0e-2)-(109-params),classic_NN,30
