learning_rate,qlearning_rate,value_loss,policy_loss,entropy,loss,old_approx_kl,approx_kl,clipfrac,explained_variance,SPS,output_scaleing,global_step,gym_id,exp_name,circuit,seed
0.00025,0.01,0.0066102901473641396,-0.027190566062927246,1.3645999431610107,-0.03753142058849335,0.034480709582567215,0.015350590460002422,0.14892578125,-5.26499080657959,2,1,512,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-qppo-ac-simple_reuploading-exp_sced-ht25000-start-qlr10.e-3-end-qlr0.1e-3-lr2.5e-4-gaussinit-6varlayers-(72-params),simple_reuploading,20
0.00025,0.009858065666537857,0.0013059505727142096,-0.017901478335261345,1.3578296899795532,-0.03082680143415928,0.021150339394807816,0.006373440846800804,0.02197265625,-3.293454647064209,2,1,1024,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-qppo-ac-simple_reuploading-exp_sced-ht25000-start-qlr10.e-3-end-qlr0.1e-3-lr2.5e-4-gaussinit-6varlayers-(72-params),simple_reuploading,20
0.00025,0.009718166217420698,0.00396891450509429,-0.020284269005060196,1.3374981880187988,-0.031674791127443314,0.0017960090190172195,0.01654369756579399,0.14697265625,-0.023716449737548828,2,1,1536,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-qppo-ac-simple_reuploading-exp_sced-ht25000-start-qlr10.e-3-end-qlr0.1e-3-lr2.5e-4-gaussinit-6varlayers-(72-params),simple_reuploading,20
0.00025,0.00958027247891588,0.005624181590974331,-0.013836884871125221,1.3361762762069702,-0.024386554956436157,-0.0019474723376333714,0.006182137411087751,0.02392578125,0.13953638076782227,2,1,2048,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-qppo-ac-simple_reuploading-exp_sced-ht25000-start-qlr10.e-3-end-qlr0.1e-3-lr2.5e-4-gaussinit-6varlayers-(72-params),simple_reuploading,20
0.00025,0.009444355695548766,0.014166395179927349,-0.02086932398378849,1.326183557510376,-0.027047960087656975,0.008727647364139557,0.006058345548808575,0.033203125,0.07032841444015503,2,1,2560,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-qppo-ac-simple_reuploading-exp_sced-ht25000-start-qlr10.e-3-end-qlr0.1e-3-lr2.5e-4-gaussinit-6varlayers-(72-params),simple_reuploading,20
0.00025,0.009310387524106251,0.018695592880249023,-0.015779878944158554,1.316962718963623,-0.01960171014070511,0.008729539811611176,0.012228105217218399,0.068359375,0.11930805444717407,2,1,3072,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-qppo-ac-simple_reuploading-exp_sced-ht25000-start-qlr10.e-3-end-qlr0.1e-3-lr2.5e-4-gaussinit-6varlayers-(72-params),simple_reuploading,20
0.00025,0.009178340027726245,0.03221727907657623,-0.010865490883588791,1.3315324783325195,-0.008072175085544586,-0.012897999957203865,0.01285586692392826,0.13427734375,0.17209643125534058,2,1,3584,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-qppo-ac-simple_reuploading-exp_sced-ht25000-start-qlr10.e-3-end-qlr0.1e-3-lr2.5e-4-gaussinit-6varlayers-(72-params),simple_reuploading,20
0.00025,0.009048185670071901,0.04939034953713417,-0.028485653921961784,1.3151042461395264,-0.016941523179411888,0.010409342125058174,0.01119927316904068,0.10791015625,0.1810089349746704,2,1,4096,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-qppo-ac-simple_reuploading-exp_sced-ht25000-start-qlr10.e-3-end-qlr0.1e-3-lr2.5e-4-gaussinit-6varlayers-(72-params),simple_reuploading,20
0.00025,0.008919897309589359,0.04935494065284729,-0.027875259518623352,1.2776747941970825,-0.015974536538124084,0.010226787999272346,0.012694931589066982,0.04931640625,0.19654244184494019,2,1,4608,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-qppo-ac-simple_reuploading-exp_sced-ht25000-start-qlr10.e-3-end-qlr0.1e-3-lr2.5e-4-gaussinit-6varlayers-(72-params),simple_reuploading,20
0.00025,0.008793448193847832,0.05732230469584465,-0.04057515785098076,1.206358551979065,-0.02397759072482586,0.01914863847196102,0.012496243230998516,0.064453125,0.19002246856689453,2,1,5120,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-qppo-ac-simple_reuploading-exp_sced-ht25000-start-qlr10.e-3-end-qlr0.1e-3-lr2.5e-4-gaussinit-6varlayers-(72-params),simple_reuploading,20
