episode_reward,episode_length,global_step,gym_id,exp_name,circuit,seed
-0.24000001,5,20,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-qppo-simple_reuploading-exp_sced_fixed-ht35000-start-qlr10.e-3-end-qlr1.0e-3-lr2.5e-4-6varlayers-(72-params),simple_reuploading,50
-0.25,6,24,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-qppo-simple_reuploading-exp_sced_fixed-ht35000-start-qlr10.e-3-end-qlr1.0e-3-lr2.5e-4-6varlayers-(72-params),simple_reuploading,50
-0.23,4,36,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-qppo-simple_reuploading-exp_sced_fixed-ht35000-start-qlr10.e-3-end-qlr1.0e-3-lr2.5e-4-6varlayers-(72-params),simple_reuploading,50
-0.22,3,36,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-qppo-simple_reuploading-exp_sced_fixed-ht35000-start-qlr10.e-3-end-qlr1.0e-3-lr2.5e-4-6varlayers-(72-params),simple_reuploading,50
-0.24000001,5,56,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-qppo-simple_reuploading-exp_sced_fixed-ht35000-start-qlr10.e-3-end-qlr1.0e-3-lr2.5e-4-6varlayers-(72-params),simple_reuploading,50
-0.36,17,68,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-qppo-simple_reuploading-exp_sced_fixed-ht35000-start-qlr10.e-3-end-qlr1.0e-3-lr2.5e-4-6varlayers-(72-params),simple_reuploading,50
-0.28,9,72,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-qppo-simple_reuploading-exp_sced_fixed-ht35000-start-qlr10.e-3-end-qlr1.0e-3-lr2.5e-4-6varlayers-(72-params),simple_reuploading,50
-0.40000004,21,84,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-qppo-simple_reuploading-exp_sced_fixed-ht35000-start-qlr10.e-3-end-qlr1.0e-3-lr2.5e-4-6varlayers-(72-params),simple_reuploading,50
-0.23,4,88,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-qppo-simple_reuploading-exp_sced_fixed-ht35000-start-qlr10.e-3-end-qlr1.0e-3-lr2.5e-4-6varlayers-(72-params),simple_reuploading,50
-0.26,7,112,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-qppo-simple_reuploading-exp_sced_fixed-ht35000-start-qlr10.e-3-end-qlr1.0e-3-lr2.5e-4-6varlayers-(72-params),simple_reuploading,50
