learning_rate,qlearning_rate,value_loss,policy_loss,entropy,loss,old_approx_kl,approx_kl,clipfrac,explained_variance,SPS,output_scaleing,global_step,gym_id,exp_name,circuit,seed
0.001,0.0025,0.00733670499175787,-0.006935473531484604,1.3569748401641846,-0.016836868599057198,0.020110178738832474,0.009367963299155235,0.0439453125,-29.237470626831055,2,1,512,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-qppo-simple_reuploading-qlr2.5e-3-lr10.e-4-clipcoef0.20-6varlayers-(72-params),simple_reuploading,20
0.001,0.0025,0.0009516000282019377,-0.009931474924087524,1.3501311540603638,-0.022956987842917442,0.003428821451961994,0.0030335732735693455,0.0,-1.8826565742492676,2,1,1024,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-qppo-simple_reuploading-qlr2.5e-3-lr10.e-4-clipcoef0.20-6varlayers-(72-params),simple_reuploading,20
0.001,0.0025,0.008088492788374424,-0.0048652756959199905,1.3451532125473022,-0.01427256129682064,-0.010629730299115181,0.003540501929819584,0.00341796875,0.025190889835357666,2,1,1536,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-qppo-simple_reuploading-qlr2.5e-3-lr10.e-4-clipcoef0.20-6varlayers-(72-params),simple_reuploading,20
0.001,0.0025,0.00956534594297409,-0.03084944561123848,1.3414413928985596,-0.039481185376644135,0.0012110471725463867,0.004348008893430233,0.01318359375,0.14691197872161865,2,1,2048,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-qppo-simple_reuploading-qlr2.5e-3-lr10.e-4-clipcoef0.20-6varlayers-(72-params),simple_reuploading,20
0.001,0.0025,0.0010169700253754854,-0.002192620187997818,1.3287466764450073,-0.014971600845456123,-0.000989972148090601,0.0009009875357151031,0.0,-2.6291205883026123,2,1,2560,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-qppo-simple_reuploading-qlr2.5e-3-lr10.e-4-clipcoef0.20-6varlayers-(72-params),simple_reuploading,20
0.001,0.0025,0.021145153790712357,-0.008119378238916397,1.3290448188781738,-0.010837249457836151,0.0011975676752626896,0.00040054926648736,0.0,0.17140674591064453,2,1,3072,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-qppo-simple_reuploading-qlr2.5e-3-lr10.e-4-clipcoef0.20-6varlayers-(72-params),simple_reuploading,20
0.001,0.0025,0.030522121116518974,-0.009260307997465134,1.3282335996627808,-0.007281583733856678,-0.006901645567268133,0.003316059708595276,0.009765625,0.3515828847885132,2,1,3584,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-qppo-simple_reuploading-qlr2.5e-3-lr10.e-4-clipcoef0.20-6varlayers-(72-params),simple_reuploading,20
0.001,0.0025,0.02396886982023716,-0.0272207073867321,1.3314666748046875,-0.02855094149708748,0.034550990909338,0.003407237119972706,0.00830078125,0.11815160512924194,2,1,4096,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-qppo-simple_reuploading-qlr2.5e-3-lr10.e-4-clipcoef0.20-6varlayers-(72-params),simple_reuploading,20
0.001,0.0025,0.026294760406017303,-0.014197617769241333,1.3242038488388062,-0.014292275533080101,0.003750490490347147,0.0024102162569761276,0.0029296875,0.07577890157699585,2,1,4608,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-qppo-simple_reuploading-qlr2.5e-3-lr10.e-4-clipcoef0.20-6varlayers-(72-params),simple_reuploading,20
0.001,0.0025,0.030837131664156914,-0.007031173445284367,1.318129539489746,-0.004793901927769184,0.004830250982195139,0.0013864911161363125,0.0,0.21534466743469238,2,1,5120,Deterministic-ShortestPath-4x4-FrozenLake-v0,FL-qppo-simple_reuploading-qlr2.5e-3-lr10.e-4-clipcoef0.20-6varlayers-(72-params),simple_reuploading,20
