learning_rate,qlearning_rate,value_loss,policy_loss,entropy,loss,old_approx_kl,approx_kl,clipfrac,explained_variance,SPS,output_scaleing,global_step,gym_id,exp_name,circuit,seed
0.00025,0.0005,0.0243047624826431,-0.007953155785799,1.372223973274231,-0.0095230136066675,-0.0005687549710273,0.0015184367075562,0.0,-5.553399562835693,1,1,512,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-Jerbi_reuploading_no_input-scaleing-qlr0.5e-3-9varlayers-(72-params),Jerbi-reuploading-no-input-scaleing,30
0.00025,0.0005,0.00397894019261,-0.000931822694838,1.36834454536438,-0.0126257976517081,-0.0001813424751162,0.0009793513454496,0.0,-5.319218158721924,1,1,1024,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-Jerbi_reuploading_no_input-scaleing-qlr0.5e-3-9varlayers-(72-params),Jerbi-reuploading-no-input-scaleing,30
0.00025,0.0005,0.0006663929088972,-0.0024884641170501,1.368772029876709,-0.0158429872244596,0.0009896419942378,0.0002227923832833,0.0,-3.249786376953125,1,1,1536,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-Jerbi_reuploading_no_input-scaleing-qlr0.5e-3-9varlayers-(72-params),Jerbi-reuploading-no-input-scaleing,30
0.00025,0.0005,0.000944347877521,-0.0196567047387361,1.3742526769638062,-0.0329270586371421,-0.0012218346819281,0.0016852533444762,0.0,0.111838698387146,1,1,2048,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-Jerbi_reuploading_no_input-scaleing-qlr0.5e-3-9varlayers-(72-params),Jerbi-reuploading-no-input-scaleing,30
0.00025,0.0005,0.0012133060954511,-0.011627297848463,1.3763536214828491,-0.024784181267023,-0.0003343494608998,0.0025398093275725,0.0,0.0161740183830261,1,1,2560,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-Jerbi_reuploading_no_input-scaleing-qlr0.5e-3-9varlayers-(72-params),Jerbi-reuploading-no-input-scaleing,30
0.00025,0.0005,0.0004754273977596,-0.030534029006958,1.3715554475784302,-0.0440118685364723,-0.0067087467759847,0.0045212195254862,0.0,0.2206302285194397,1,1,3072,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-Jerbi_reuploading_no_input-scaleing-qlr0.5e-3-9varlayers-(72-params),Jerbi-reuploading-no-input-scaleing,30
0.00025,0.0005,0.0101343151181936,-0.0043013580143451,1.3639957904815674,-0.0128741571679711,0.0029621757566928,0.0017821853980422,0.0,0.0330109596252441,1,1,3584,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-Jerbi_reuploading_no_input-scaleing-qlr0.5e-3-9varlayers-(72-params),Jerbi-reuploading-no-input-scaleing,30
0.00025,0.0005,0.0061523951590061,-0.0069970078766345,1.3599075078964231,-0.0175198856741189,0.0044379299506545,0.0003323126584291,0.0,0.0327887535095214,1,1,4096,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-Jerbi_reuploading_no_input-scaleing-qlr0.5e-3-9varlayers-(72-params),Jerbi-reuploading-no-input-scaleing,30
0.00025,0.0005,0.0006932496326044,-0.011820912361145,1.35294508934021,-0.0250037368386983,0.0025744899176061,0.0011992314830422,0.0,-1.136894941329956,1,1,4608,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-Jerbi_reuploading_no_input-scaleing-qlr0.5e-3-9varlayers-(72-params),Jerbi-reuploading-no-input-scaleing,30
0.00025,0.0005,0.0082178683951497,-0.0058871358633041,1.3411983251571655,-0.0151901859790086,0.0045861415565013,0.0007834048010408,0.0,0.0723136067390441,1,1,5120,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-Jerbi_reuploading_no_input-scaleing-qlr0.5e-3-9varlayers-(72-params),Jerbi-reuploading-no-input-scaleing,30
0.00025,0.0005,0.0024394376669079,-0.0025697089731693,1.336631178855896,-0.0147163020446896,0.0020750388503074,0.0001904400996863,0.0,0.1557497978210449,1,1,5632,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-Jerbi_reuploading_no_input-scaleing-qlr0.5e-3-9varlayers-(72-params),Jerbi-reuploading-no-input-scaleing,30
0.00025,0.0005,0.0195592921227216,-0.0036375690251588,1.337068796157837,-0.0072286101058125,0.0001421114429831,0.0001333463005721,0.0,0.0909520387649536,1,1,6144,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-Jerbi_reuploading_no_input-scaleing-qlr0.5e-3-9varlayers-(72-params),Jerbi-reuploading-no-input-scaleing,30
0.00025,0.0005,0.0131694255396723,-0.0058721974492073,1.337752103805542,-0.0126650054007768,0.0007930668070912,0.0001028096303343,0.0,0.1668516993522644,1,1,6656,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-Jerbi_reuploading_no_input-scaleing-qlr0.5e-3-9varlayers-(72-params),Jerbi-reuploading-no-input-scaleing,30
0.00025,0.0005,0.0248849503695964,-0.002200923860073,1.33387291431427,-0.0030971774831414,0.002142880577594,8.97780992090702e-05,0.0,0.2087624669075012,1,1,7168,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-Jerbi_reuploading_no_input-scaleing-qlr0.5e-3-9varlayers-(72-params),Jerbi-reuploading-no-input-scaleing,30
