learning_rate,qlearning_rate,value_loss,policy_loss,entropy,loss,old_approx_kl,approx_kl,clipfrac,explained_variance,SPS,output_scaleing,global_step,gym_id,exp_name,circuit,seed
0.00025,0.0005,0.031329210847616196,-0.0005861110985279083,1.3641982078552246,0.0014365129172801971,0.001573263667523861,5.944911390542984e-05,0.0,-2.3259072303771973,2,1,512,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr0.5e-3-6varlayers-nologoutput-allbig-recordgrads-(72-params),simple_reuploading,30
0.00025,0.0005,0.00442341435700655,-0.0009728409349918365,1.3625041246414185,-0.012386174872517586,0.0015143230557441711,7.500546053051949e-05,0.0,-3.697272777557373,2,1,1024,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr0.5e-3-6varlayers-nologoutput-allbig-recordgrads-(72-params),simple_reuploading,30
0.00025,0.0005,0.000510821002535522,-0.001054089516401291,1.3648550510406494,-0.014447228983044624,0.0006468109786510468,0.00010230159386992455,0.0,-5.9387640953063965,2,1,1536,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr0.5e-3-6varlayers-nologoutput-allbig-recordgrads-(72-params),simple_reuploading,30
0.00025,0.0005,0.0009274277836084366,-0.006675666198134422,1.3690314292907715,-0.019902266561985016,6.465613842010498e-05,0.0007134373299777508,0.0,0.03806239366531372,2,1,2048,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr0.5e-3-6varlayers-nologoutput-allbig-recordgrads-(72-params),simple_reuploading,30
0.00025,0.0005,0.014048583805561066,-0.0006879456341266632,1.3704701662063599,-0.007368355058133602,0.004692886956036091,0.000511491671204567,0.0,0.06702357530593872,2,1,2560,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr0.5e-3-6varlayers-nologoutput-allbig-recordgrads-(72-params),simple_reuploading,30
0.00025,0.0005,0.0008399939979426563,-0.013585624285042286,1.371457815170288,-0.026880204677581787,-0.0006690602749586105,0.0008807587437331676,0.0,0.12033343315124512,2,1,3072,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr0.5e-3-6varlayers-nologoutput-allbig-recordgrads-(72-params),simple_reuploading,30
0.00025,0.0005,0.0007162243709899485,-0.009322527796030045,1.369982361793518,-0.022664237767457962,0.005477866157889366,0.0007531191222369671,0.0,-0.1494208574295044,2,1,3584,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr0.5e-3-6varlayers-nologoutput-allbig-recordgrads-(72-params),simple_reuploading,30
0.00025,0.0005,0.012469789013266563,-0.000769302248954773,1.3679556846618652,-0.00821396429091692,-0.0025676870718598366,0.00020862556993961334,0.0,0.1131279468536377,2,1,4096,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr0.5e-3-6varlayers-nologoutput-allbig-recordgrads-(72-params),simple_reuploading,30
0.00025,0.0005,0.016673482954502106,-0.0027000755071640015,1.3672564029693604,-0.008035898208618164,-0.0013684174045920372,0.00013307202607393265,0.0,0.19096845388412476,2,1,4608,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr0.5e-3-6varlayers-nologoutput-allbig-recordgrads-(72-params),simple_reuploading,30
0.00025,0.0005,0.007185574620962143,-0.0001035146415233612,1.366390585899353,-0.010174633003771305,0.0012376261875033379,0.00014307862147688866,0.0,0.12147873640060425,2,1,5120,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr0.5e-3-6varlayers-nologoutput-allbig-recordgrads-(72-params),simple_reuploading,30
0.00025,0.0005,0.0077793481759727,-0.0017791762948036194,1.3659467697143555,-0.011548968963325024,-0.0003222748637199402,0.00012183887884020805,0.0,0.19408172369003296,2,1,5632,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr0.5e-3-6varlayers-nologoutput-allbig-recordgrads-(72-params),simple_reuploading,30
0.00025,0.0005,0.000606734654866159,-0.002743811346590519,1.365906000137329,-0.01609950326383114,0.0029710642993450165,0.0001540142111480236,0.0,-1.3169338703155518,2,1,6144,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr0.5e-3-6varlayers-nologoutput-allbig-recordgrads-(72-params),simple_reuploading,30
0.00025,0.0005,0.0041849492117762566,-0.0021365266293287277,1.3645775318145752,-0.013689825311303139,-0.0009813020005822182,0.00010619685053825378,0.0,0.15588361024856567,2,1,6656,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr0.5e-3-6varlayers-nologoutput-allbig-recordgrads-(72-params),simple_reuploading,30
0.00025,0.0005,0.007096551358699799,-0.00039564119651913643,1.3623548746109009,-0.010470913723111153,-0.00024747569113969803,3.101862967014313e-05,0.0,0.12140601873397827,2,1,7168,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr0.5e-3-6varlayers-nologoutput-allbig-recordgrads-(72-params),simple_reuploading,30
0.00025,0.0005,0.0016244965372607112,-0.001754113007336855,1.3617271184921265,-0.014559135772287846,0.00025281962007284164,3.8596801459789276e-05,0.0,-1.3578228950500488,2,1,7680,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr0.5e-3-6varlayers-nologoutput-allbig-recordgrads-(72-params),simple_reuploading,30
0.00025,0.0005,0.0005972583312541246,-0.004432711750268936,1.3597064018249512,-0.01773114688694477,0.00027958396822214127,0.0001307292841374874,0.0,-0.0938727855682373,2,1,8192,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr0.5e-3-6varlayers-nologoutput-allbig-recordgrads-(72-params),simple_reuploading,30
0.00025,0.0005,0.008022011257708073,-0.00022709369659423828,1.357224941253662,-0.009788338094949722,-0.0004051029682159424,5.644233897328377e-05,0.0,0.33933568000793457,2,1,8704,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr0.5e-3-6varlayers-nologoutput-allbig-recordgrads-(72-params),simple_reuploading,30
0.00025,0.0005,0.0005842802347615361,-0.002739458344876766,1.35422945022583,-0.01598961278796196,0.0005829231813549995,8.771009743213654e-05,0.0,0.0209578275680542,2,1,9216,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr0.5e-3-6varlayers-nologoutput-allbig-recordgrads-(72-params),simple_reuploading,30
0.00025,0.0005,0.000517029722686857,-0.004085563123226166,1.3497344255447388,-0.01732439361512661,-0.0033038202673196793,0.00023603765293955803,0.0,-0.03396153450012207,2,1,9728,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr0.5e-3-6varlayers-nologoutput-allbig-recordgrads-(72-params),simple_reuploading,30
0.00025,0.0005,0.0013081434881314635,-0.00621424987912178,1.343438744544983,-0.018994566053152084,0.0007141288369894028,0.0003478038124740124,0.0,-0.6669838428497314,2,1,10240,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr0.5e-3-6varlayers-nologoutput-allbig-recordgrads-(72-params),simple_reuploading,30
0.00025,0.0005,0.000865020090714097,-0.005745876580476761,1.3399049043655396,-0.018712416291236877,-0.00023447256535291672,0.00022790953516960144,0.0,-1.2892613410949707,2,1,10752,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr0.5e-3-6varlayers-nologoutput-allbig-recordgrads-(72-params),simple_reuploading,30
0.00025,0.0005,0.0007048998377285898,-0.0016000885516405106,1.3425815105438232,-0.014673453755676746,0.00045480672270059586,4.941131919622421e-05,0.0,0.1813848614692688,2,1,11264,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr0.5e-3-6varlayers-nologoutput-allbig-recordgrads-(72-params),simple_reuploading,30
