learning_rate,qlearning_rate,value_loss,policy_loss,entropy,loss,old_approx_kl,approx_kl,clipfrac,explained_variance,SPS,output_scaleing,global_step,gym_id,exp_name,circuit,seed
0.001,0.01,0.00865101721137762,-0.01827302947640419,1.3348972797393799,-0.027296490967273712,0.013895424082875252,0.010188735090196133,0.0966796875,-4.479532718658447,2,1,512,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr10.e-3-lr10.e-4-clipcoef0.20-fixed,simple_reuploading,20
0.001,0.01,0.0006547782686538994,-0.01284441165626049,1.3346972465515137,-0.025863993912935257,0.0044984472915530205,0.004255254752933979,0.01904296875,-2.8837666511535645,2,1,1024,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr10.e-3-lr10.e-4-clipcoef0.20-fixed,simple_reuploading,20
0.001,0.01,0.0006898193387314677,-0.04539944976568222,1.3430726528167725,-0.05848526582121849,-0.005735934246331453,0.018718499690294266,0.1455078125,0.015925884246826172,2,1,1536,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr10.e-3-lr10.e-4-clipcoef0.20-fixed,simple_reuploading,20
0.001,0.01,0.000542870257049799,-0.058740973472595215,1.2898364067077637,-0.07136790454387665,0.018567226827144623,0.04350489750504494,0.21533203125,0.04162311553955078,2,1,2048,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr10.e-3-lr10.e-4-clipcoef0.20-fixed,simple_reuploading,20
0.001,0.01,0.008524684235453606,-0.025159262120723724,1.2692965269088745,-0.033589884638786316,0.009300309233367443,0.013655208051204681,0.12841796875,0.0603107213973999,2,1,2560,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr10.e-3-lr10.e-4-clipcoef0.20-fixed,simple_reuploading,20
0.001,0.01,0.0004543145187199116,-0.06720677018165588,1.2129462957382202,-0.0791090726852417,0.05458446219563484,0.038952820003032684,0.109375,-2.326794147491455,2,1,3072,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr10.e-3-lr10.e-4-clipcoef0.20-fixed,simple_reuploading,20
0.001,0.01,0.00022603044635616243,-0.057797398418188095,1.182978630065918,-0.06951416283845901,0.012324482202529907,0.020434677600860596,0.2001953125,0.12071472406387329,2,1,3584,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr10.e-3-lr10.e-4-clipcoef0.20-fixed,simple_reuploading,20
0.001,0.01,0.011318674311041832,-0.024617813527584076,1.1697778701782227,-0.030656252056360245,-0.001232670620083809,0.009492812678217888,0.0751953125,0.0008767843246459961,2,1,4096,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr10.e-3-lr10.e-4-clipcoef0.20-fixed,simple_reuploading,20
0.001,0.01,0.016813073307275772,-0.03757753223180771,1.193726897239685,-0.04110826551914215,0.008912576362490654,0.015494775027036667,0.14599609375,0.06100386381149292,2,1,4608,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr10.e-3-lr10.e-4-clipcoef0.20-fixed,simple_reuploading,20
0.001,0.01,0.004548645578324795,0.01594480872154236,1.246989130973816,0.005749240051954985,0.06715284287929535,0.035408731549978256,0.09326171875,0.029731154441833496,2,1,5120,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr10.e-3-lr10.e-4-clipcoef0.20-fixed,simple_reuploading,20
