learning_rate,qlearning_rate,value_loss,policy_loss,entropy,loss,old_approx_kl,approx_kl,clipfrac,explained_variance,SPS,output_scaleing,global_step,gym_id,exp_name,circuit,seed
0.00025,0.0025,0.004148753359913826,-0.0012165848165750504,1.2560598850250244,-0.011702806688845158,0.0012881848961114883,0.0007199812680482864,0.0068359375,-11.340157508850098,2,1,512,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr2.5e-3-lr2.5e-4-clipcoef0.20-6varlayers-nologoutput-allsmall-(72-params),simple_reuploading,10
0.00025,0.0025,0.0019946489483118057,-0.009314585477113724,1.3104348182678223,-0.021421607583761215,0.02119794487953186,0.003727072849869728,0.01171875,-0.4164470434188843,2,1,1024,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr2.5e-3-lr2.5e-4-clipcoef0.20-6varlayers-nologoutput-allsmall-(72-params),simple_reuploading,10
0.00025,0.0025,0.002130311680957675,-0.005821727216243744,1.335211157798767,-0.018108682706952095,0.004929091781377792,0.0204464104026556,0.056640625,-0.5661282539367676,2,1,1536,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr2.5e-3-lr2.5e-4-clipcoef0.20-6varlayers-nologoutput-allsmall-(72-params),simple_reuploading,10
0.00025,0.0025,0.002425569575279951,-0.04342642426490784,1.358215570449829,-0.05579579621553421,0.04220745712518692,0.015963440760970116,0.11865234375,-0.01743340492248535,2,1,2048,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr2.5e-3-lr2.5e-4-clipcoef0.20-6varlayers-nologoutput-allsmall-(72-params),simple_reuploading,10
0.00025,0.0025,0.009072822518646717,-0.0074249692261219025,1.3717942237854004,-0.01660650037229061,0.009276659227907658,0.008353427052497864,0.01416015625,0.009376883506774902,2,1,2560,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr2.5e-3-lr2.5e-4-clipcoef0.20-6varlayers-nologoutput-allsmall-(72-params),simple_reuploading,10
0.00025,0.0025,0.00046604499220848083,-0.03200279176235199,1.3515148162841797,-0.04528491944074631,-0.008566567674279213,0.010443966835737228,0.05126953125,-0.008294820785522461,2,1,3072,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr2.5e-3-lr2.5e-4-clipcoef0.20-6varlayers-nologoutput-allsmall-(72-params),simple_reuploading,10
0.00025,0.0025,0.01428859494626522,-0.025248831138014793,1.3243342638015747,-0.03134787455201149,0.0059855906292796135,0.007078879978507757,0.0029296875,0.05962437391281128,2,1,3584,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr2.5e-3-lr2.5e-4-clipcoef0.20-6varlayers-nologoutput-allsmall-(72-params),simple_reuploading,10
0.00025,0.0025,0.018161483108997345,-0.007544002961367369,1.311240553855896,-0.011575667187571526,0.013872616924345493,0.0037575955502688885,0.0,0.09158778190612793,2,1,4096,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr2.5e-3-lr2.5e-4-clipcoef0.20-6varlayers-nologoutput-allsmall-(72-params),simple_reuploading,10
0.00025,0.0025,0.00019078378682024777,-0.04653206467628479,1.2526278495788574,-0.058962948620319366,0.03013148158788681,0.016699016094207764,0.072265625,-0.2502882480621338,2,1,4608,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr2.5e-3-lr2.5e-4-clipcoef0.20-6varlayers-nologoutput-allsmall-(72-params),simple_reuploading,10
0.00025,0.0025,0.03133246302604675,-0.012575358152389526,1.2271314859390259,-0.009180441498756409,-0.0005260487087070942,0.005438331980258226,0.00927734375,0.1707763671875,2,1,5120,Deterministic-ShortestPath-4x4-FrozenLake-v0,qppo-simple_reuploading-qlr2.5e-3-lr2.5e-4-clipcoef0.20-6varlayers-nologoutput-allsmall-(72-params),simple_reuploading,10
